bin_index,lo,hi,D_upper_ball,D_upper_float,proved,nodes,ambiguous_cells,positive_cells,negative_cells,speed_roots,rhs_adjusted,M2
28,-0.6499999999999999,-0.6375,[2.087401332067988474757091708870000933861650141 +/- 6.34e-46],2.0874013320679885,True,1301,50,223,403,25,21,[175.055667517585241596924910293 +/- 3.01e-28]
29,-0.6375,-0.625,[2.095010398819952228835481453102295866835781283 +/- 2.90e-46],2.0950103988199524,True,1277,50,226,388,25,21,[175.009193689706382164016875236 +/- 9.63e-29]
30,-0.625,-0.6125,[2.102804570810615834992104896945919036156296463 +/- 5.00e-46],2.102804570810616,True,1265,50,226,382,25,21,[174.814713374383789104419820036 +/- 2.76e-28]
31,-0.6125,-0.6,[2.110787925938141590854439182171994341107757428 +/- 3.82e-46],2.1107879259381415,True,1271,50,230,381,25,21,[174.363620401384105192368135337 +/- 4.09e-28]
32,-0.6,-0.5874999999999999,[2.118964646962777081065536234958941487148369178 +/- 4.93e-46],2.118964646962777,True,1263,50,227,380,25,21,[174.506628113032932728632536372 +/- 3.30e-28]
33,-0.5874999999999999,-0.575,[2.127338691086775831924669862297952147899839570 +/- 5.12e-46],2.1273386910867758,True,1241,50,227,369,25,21,[174.970457802669910181253275391 +/- 1.79e-28]
34,-0.575,-0.5625,[2.135914269374310660294334264348921136291189576 +/- 3.00e-46],2.1359142693743105,True,1239,50,229,366,25,21,[175.106203888327558410844181095 +/- 3.22e-28]
35,-0.5625,-0.55,[2.144695616265704364866922101531300951702590497 +/- 4.77e-46],2.1446956162657043,True,1235,50,226,367,25,21,[175.832650669624662721272003449 +/- 2.89e-28]
36,-0.55,-0.5375,[2.153686936020969661723404829292055610974396282 +/- 4.78e-46],2.1536869360209696,True,1217,50,227,357,25,21,[177.189384625041185556516631112 +/- 4.08e-28]
37,-0.5375,-0.5249999999999999,[2.162892888571634785105586230774892994426732736 +/- 6.44e-46],2.1628928885716348,True,1213,50,226,356,25,21,[177.488046842182758767974881185 +/- 4.69e-28]
38,-0.5249999999999999,-0.5125,[2.172314596041233256114009486006706664148944350 +/- 3.16e-46],2.1723145960412333,True,1199,50,225,350,25,21,[178.389995308444638116920984017 +/- 4.44e-28]
39,-0.5125,-0.5,[2.181961908080358388944698792797085687551534400 +/- 5.89e-46],2.1819619080803583,True,1193,50,230,342,25,21,[179.775648230883431167545608868 +/- 3.78e-28]
40,-0.5,-0.48749999999999993,[2.191833881104204851227922787595783602222155104 +/- 1.89e-46],2.191833881104205,True,1191,50,230,341,25,21,[180.745933024572191539742678858 +/- 1.84e-28]
41,-0.48749999999999993,-0.475,[2.201936974846792896235182035047054797627074737 +/- 3.33e-46],2.201936974846793,True,1183,50,229,338,25,21,[182.410989905514532134903295235 +/- 3.34e-28]
42,-0.475,-0.4625,[2.212275328067365319719476973529638113832071910 +/- 5.30e-46],2.2122753280673653,True,1173,50,231,331,25,21,[183.390268741751242705126212933 +/- 3.98e-28]
43,-0.4625,-0.44999999999999996,[2.222851366189849779107981031083891915075527100 +/- 2.39e-46],2.22285136618985,True,1153,50,230,322,25,21,[186.238094817367551011219606623 +/- 4.67e-28]
44,-0.44999999999999996,-0.4375,[2.233667691626332279944269408015620318037309160 +/- 2.31e-46],2.2336676916263323,True,1157,50,243,311,25,21,[188.185439582197966329632255754 +/- 1.56e-28]
45,-0.4375,-0.42499999999999993,[2.244603162809766768669913841405207748516556246 +/- 2.71e-46],2.2446031628097667,True,1077,46,209,307,23,21,[208.849904267849269565435768613 +/- 2.41e-28]
46,-0.42499999999999993,-0.4125,[2.255481813406720905120114952689868292036483448 +/- 2.89e-46],2.2554818134067207,True,1047,42,195,308,21,20,[202.526579567382695521374577560 +/- 9.55e-29]
47,-0.4125,-0.3999999999999999,[2.266547676121884623941790835129985382374377830 +/- 4.99e-46],2.266547676121885,True,1079,42,201,318,21,20,[196.948308110249825349089636987 +/- 4.87e-29]
48,-0.3999999999999999,-0.38749999999999996,[2.277813213206506218260438300195510888734790660 +/- 5.82e-46],2.2778132132065063,True,1142,41,214,337,21,20,[191.082149164958781503382868118 +/- 3.15e-28]
49,-0.38749999999999996,-0.375,[2.288251492677732280136086649753990219793060543 +/- 5.62e-46],2.288251492677732,True,1141,40,221,330,20,19,[258.818507995772196024321540318 +/- 2.22e-28]
50,-0.375,-0.36249999999999993,[2.298572449573412337859766928886095350562700223 +/- 2.84e-46],2.2985724495734123,True,1161,40,225,336,20,19,[265.333078911639533042126751840 +/- 1.03e-28]
